percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
5.5,4318,10703,23140,7880,24058,53439
5.5,4318,10704,23147,7880,24058,53440
5.5,4319,10704,23158,7880,24061,53442
5.6,4319,10710,23180,7880,24063,53444
5.6,4319,10713,23183,7881,24064,53444
5.6,4319,10714,23187,7881,24064,53450
5.6,4320,10714,23218,7881,24067,53450
5.6,4320,10724,23225,7881,24069,53452
5.6,4320,10726,23255,7882,24071,53457
5.6,4321,10730,23258,7883,24071,53460
5.7,4321,10730,23261,7883,24071,53460
5.7,4321,10732,23283,7883,24072,53463
5.7,4321,10734,23291,7884,24079,53464
5.7,4321,10738,23298,7884,24080,53466
5.7,4322,10742,23323,7884,24080,53471
5.7,4322,10743,23336,7885,24083,53481
5.7,4323,10745,23338,7886,24085,53481
5.7,4323,10747,23359,7888,24086,53481
5.8,4323,10751,23363,7889,24087,53485
5.8,4323,10752,23414,7889,24091,53487
5.8,4324,10753,23450,7891,24092,53493
5.8,4325,10758,23456,7891,24093,53498
5.8,4325,10763,23458,7891,24094,53498
5.8,4325,10769,23458,7892,24094,53499
5.8,4325,10769,23465,7892,24094,53502
5.8,4325,10770,23484,7893,24094,53502
5.8,4325,10775,23488,7895,24096,53502
5.9,4326,10778,23488,7897,24098,53504
5.9,4327,10778,23494,7897,24098,53505
5.9,4327,10785,23499,7898,24099,53512
5.9,4327,10787,23508,7898,24101,53512
5.9,4327,10787,23523,7898,24102,53516
5.9,4327,10792,23531,7898,24106,53517
5.9,4328,10795,23550,7898,24107,53523
6.0,4328,10796,23563,7899,24107,53525
6.0,4328,10796,23580,7899,24109,53530
6.0,4328,10799,23599,7899,24109,53530
6.0,4328,10800,23607,7899,24109,53534
6.0,4328,10800,23612,7901,24110,53537
6.0,4329,10801,23623,7902,24111,53540
6.0,4329,10802,23623,7902,24111,53540
6.0,4329,10803,23626,7903,24112,53546
6.0,4330,10804,23627,7903,24115,53546
6.1,4330,10815,23634,7903,24116,53547
6.1,4330,10816,23656,7903,24116,53547
6.1,4330,10818,23657,7904,24116,53547
6.1,4331,10829,23710,7904,24117,53550
6.1,4331,10830,23715,7904,24119,53551
6.1,4331,10833,23717,7904,24120,53552
6.1,4332,10835,23719,7904,24120,53553
6.2,4332,10836,23730,7905,24121,53553
6.2,4332,10836,23739,7905,24122,53556
6.2,4332,10839,23764,7905,24124,53558
6.2,4332,10844,23768,7905,24125,53569
6.2,4332,10845,23793,7906,24126,53571
6.2,4332,10849,23793,7906,24127,53573
6.2,4332,10849,23808,7906,24129,53573
6.2,4333,10854,23819,7908,24129,53575
6.2,4333,10854,23821,7908,24131,53575
6.3,4333,10855,23842,7909,24131,53579
6.3,4333,10857,23857,7910,24135,53581
6.3,4333,10859,23875,7911,24137,53582
6.3,4333,10859,23877,7911,24138,53584
6.3,4334,10860,23898,7912,24139,53584
6.3,4334,10864,23908,7912,24143,53584
6.3,4334,10865,23913,7912,24143,53584
6.3,4334,10871,23914,7913,24143,53585
6.4,4334,10872,23924,7913,24143,53586
6.4,4334,10873,23936,7913,24143,53586
6.4,4334,10879,23945,7914,24145,53588
